Region,Sales,Quarter
South,38846,Q1
East,26202,Q1
West,39050,Q3
North,35435,Q4
North,43247,Q1
North,26795,Q3
South,32680,Q3
North,42120,Q3
West,27132,Q3
North,14771,Q1
North,24494,Q2
North,14243,Q2
North,32265,Q3
West,41544,Q2
North,11851,Q4
East,39134,Q3
South,37018,Q2
North,20220,Q1
East,30613,Q3
South,27884,Q1
South,38969,Q3
East,44281,Q3
North,21144,Q1
East,15376,Q4
East,46716,Q4
North,49865,Q4
East,26914,Q3
West,24288,Q1
East,31965,Q4
East,16609,Q2
West,36300,Q2
South,38597,Q1
South,13318,Q1
North,35413,Q3
North,40040,Q3
South,15121,Q4
South,11854,Q1
North,13573,Q4
North,32635,Q2
East,15449,Q1
West,29876,Q3
North,21022,Q4
North,17991,Q2
East,43368,Q1
West,23519,Q2
South,45966,Q2
North,42547,Q3
South,45819,Q4
West,25676,Q4
South,26122,Q4
South,13230,Q2
West,38663,Q3
North,16142,Q2
North,15720,Q3
West,49126,Q4
North,41215,Q1
North,35558,Q1
East,46709,Q4
East,21288,Q3
West,42662,Q1
West,12011,Q1
North,43513,Q1
East,10696,Q2
North,23351,Q1
North,32942,Q1
East,13261,Q1
South,15259,Q3
West,12099,Q3
East,17185,Q4
South,16494,Q2
East,22602,Q4
South,46563,Q4
North,11835,Q1
West,16888,Q2
South,22628,Q1
North,35061,Q4
South,15928,Q4
South,18183,Q2
South,34938,Q4
South,47336,Q1
South,17713,Q3
North,15599,Q2
South,39257,Q1
West,23612,Q4
East,31796,Q1
West,36910,Q3
West,45286,Q3
West,30723,Q3
West,36410,Q3
East,13417,Q4
West,14792,Q1
West,19177,Q4
West,45714,Q4
West,28781,Q3
South,41099,Q4
West,27751,Q1
West,25010,Q2
South,44176,Q3
North,48202,Q4
South,13819,Q1
South,15741,Q2
East,29885,Q4
East,16388,Q2
West,45565,Q3
South,24065,Q3
South,18879,Q4
North,19489,Q4
South,32112,Q4
South,25382,Q1
West,10079,Q4
South,37197,Q2
South,10255,Q2
South,24413,Q2
South,15918,Q1
East,34784,Q4
North,17538,Q4
North,43982,Q2
South,19383,Q3
West,22924,Q4
South,37663,Q4
West,32626,Q3
East,18293,Q3
South,26000,Q3
North,40979,Q2
East,48432,Q2
South,17161,Q3
South,43648,Q1
West,30206,Q2
North,26677,Q1
West,34957,Q3
West,30166,Q1
South,25727,Q4
East,24705,Q2
West,36721,Q4
South,24536,Q2
West,35909,Q3
South,32824,Q2
East,30049,Q4
North,21601,Q4
West,14303,Q2
West,35409,Q1
East,39383,Q4
North,15400,Q2
South,21962,Q2
East,46113,Q4
North,15087,Q3
East,31408,Q2
North,13299,Q4
West,33854,Q1
East,25388,Q3
West,11221,Q1
South,25964,Q2
South,31132,Q2
East,31855,Q4
South,25553,Q2
West,36500,Q3
East,20931,Q2
West,22469,Q2
West,41921,Q4
West,28758,Q4
North,12446,Q2
South,35144,Q3
West,17098,Q4
North,30029,Q4
East,17904,Q1
West,23727,Q2
North,31010,Q1
North,28519,Q3
East,41522,Q1
North,46921,Q3
West,14691,Q4
East,12285,Q2
West,47359,Q4
West,37065,Q1
North,33163,Q3
South,15230,Q4
East,24434,Q1
East,19748,Q1
South,44510,Q2
North,42648,Q4
East,33770,Q2
West,29948,Q3
East,37906,Q4
East,31742,Q3
East,17694,Q3
South,18789,Q1
East,32265,Q3
South,18882,Q2
West,20721,Q4
North,33632,Q4
South,22225,Q1
West,46898,Q1
East,23485,Q4
East,39208,Q1
West,38105,Q4
North,39759,Q3
West,19405,Q3
North,35489,Q3
West,41279,Q2
West,31250,Q1
West,20269,Q4
East,47575,Q4
West,10315,Q1
South,26987,Q4
South,48647,Q4
West,38228,Q4
South,13523,Q3
East,17483,Q3
West,46431,Q4
North,37478,Q3
East,32178,Q4
West,13565,Q3
East,29876,Q2
South,47100,Q3
North,37754,Q1
East,15117,Q4
East,44902,Q2
North,17506,Q2
South,44964,Q4
South,22852,Q1
South,38967,Q2
South,43502,Q1
West,41380,Q1
East,19310,Q3
West,33394,Q2
East,46145,Q2
West,30547,Q4
South,18753,Q1
North,46441,Q2
West,37711,Q4
West,21219,Q4
South,35440,Q1
North,23354,Q3
North,25466,Q3
South,21733,Q1
West,21746,Q2
East,45812,Q4
South,35113,Q1
East,15708,Q1
East,18683,Q2
West,42164,Q4
South,35323,Q3
West,38784,Q1
North,48265,Q4
West,19891,Q4
North,24218,Q3
West,16814,Q4
South,13430,Q4
West,21648,Q4
East,24821,Q2
East,25711,Q2
East,38770,Q2
South,39976,Q1
South,33689,Q2
East,43192,Q1
South,29118,Q2
North,16295,Q1
West,44886,Q2
South,22934,Q2
West,13733,Q1
East,41789,Q2
South,22010,Q1
East,10686,Q2
West,19596,Q2
East,14606,Q3
South,25951,Q1
East,25529,Q2
West,40982,Q3
North,48673,Q3
South,44727,Q1
East,45820,Q1
South,12569,Q4
West,21010,Q3
East,24123,Q3
North,22477,Q1
West,34651,Q1
East,34466,Q3
South,20014,Q1
North,16356,Q2
West,33440,Q1
South,39857,Q1
North,48716,Q4
South,34809,Q4
North,46742,Q3
South,43807,Q3
West,28680,Q2
West,36609,Q2
North,28642,Q4
North,48705,Q2
South,15794,Q4
South,26985,Q1
North,30665,Q3
South,32604,Q2
North,26302,Q2
South,11453,Q4
South,38845,Q1
North,13648,Q3
North,36579,Q3
West,20889,Q3
North,32767,Q4
East,25256,Q2
North,21878,Q4
North,28808,Q4
South,11368,Q4
East,43380,Q3
East,24479,Q3
East,46156,Q2
East,37781,Q3
West,11833,Q1
South,38436,Q3
West,46738,Q1
East,18324,Q1
East,11653,Q4
North,10254,Q4
East,40672,Q4
East,24911,Q2
